id,text
1330747795528056832,@frhnhzrn Unimap pelapes
1330747691379277827,@frhnhzrn Bdk unimap ada
1330741763414245379,@NurulAlQarni Wehhh dia berlakon dkt unimap ka?
1330733635654148097,@_faraaaaaahd Kau tak balik eh unimap farah? Hari hari dia buad story laksa dia aduh mengugat keimanan betul ğŸ˜­
1330730928084115456,"SK Desa Baiduri
SMK Bandar Damai Perdana
SMK Alam Damai
SMK Pendeta Za'ba 
SMV Juasseh
Politeknik Melaka
UniMAP https://t.co/MpMuRFNIKq"
1330717483930587138,"SK Batang Kali
SK Antara Gapi
SMK Syed Mashor
SMT Sepang 
Japan Malaysian Technology institute 
UniMAP
UniMAP https://t.co/zY9wIJZz65"
1330568311097020416,"Size waist Zaman Poli : 28
Size waist Zaman UniMap : 29
Size waist 1 thun bkerja : 30
Size waist 2 thun after khwin : 31
Ok esk jog.. Done install strava apps"
1330562379986321410,I love buat duit! So dh plan macam macam kalau balik unimap nak buat apa and taknak minta duit parents. Say no.
1330548241687973888,@lishamaymac__ Eiuww tf unimap
1330547897549598724,@jdelhaq_ aku pi unimap hew hew
1330542652622684160,Tu belum lgiiii aku panas dgn mcm2 hal. Sabar betul dok :) . Sumpah tknk degree unimap. Kalau kena jgk degree sini eeee mmg sabar je la aku
1330542428445683714,You know what ? Unimap give cuti khas for student from kwsn pkpb dtg sini and diorg tkleh fikir ke brp rmai yg dri zon merah ? Nak ada kluster unimap ke. Smh
1330527863376850944,"SK Bukit Chempaka
SMK Lembah Bidong
UniMAP

But complete study at INSTITUT LATIHAN KEMENTERIAN KESIHATAN MALAYSIA JOHOR BAHRU https://t.co/FgbiOv4f5b"
1330515222101069824,"1. Sk Sri Delima
2. Sk LKTP Jengka 9
3. Sk Kampung Batu 
4. Smk Seri Bintang Selatan 
5. Smp Jalan Ipoh 
6. Unimap
7. Kktm Kemaman
8. Unikl Bmi https://t.co/okQ2pZK8f0"
1330503564674830336,"RT @Ikemalll: 1. SK Desa Cempaka
2. SMK Desa Cempaka
3. Unimap
4. PMPL
5. PMCC
6. PMCO
7. PMGC
8. MPL"
1330493216714608641,"SK Sri Jelok
SK Kajang
SMK Tinggi Kajang
SMK Tinggi Kajang (Form 6)
UniMAP https://t.co/KNaAy26OZQ"
1330492296291377165,"1. SK Desa Cempaka
2. SMK Desa Cempaka
3. Unimap
4. PMPL
5. PMCC
6. PMCO
7. PMGC
8. MPL https://t.co/vLj7xaTUz4"
1330469874183770112,"Unimap dan UUI Gagas ACEH 2015 
=========================
link pendaftaran mahasiswa baru: 
ğŸŒhttps://t.co/UoGKtf7BCu
https://t.co/L8RwXpLEz8

#kampusaceh #aceh #uui #cyberuui #cyberuniversity #kuliahmurah https://t.co/My1gKfDwOx"
1330464488789721089,"Hari ini Datuk Seri Dr Mazlan Yusoff, Ketua Setiausaha Kementerian Pengajian Tinggi (KPT) telah mengadakan lawatan kerja ke Tapak Projek Pembangunan Pusat Pengajian Kejuruteraan Bahan dan Makmal serta Pusat Pengajian Kejuruteraan Sistem Elektrik dan Makmal, UniMAP. https://t.co/zSsNP9d5NV"
1330412968605929472,Tahniah ikhmal ! Champion pes utk unimap !
1330405267939450886,Dosen IIB Darmajaya Mengajar Mahasiswa di UniMAP https://t.co/66kxXbJCCV
1330399201163939841,Dosen Prodi Manajemen IIB Darmajaya Mengajar Mahasiswa diÂ UniMAP https://t.co/jD2rsRYuFF
1330399195933642752,Dosen Prodi Manajemen IIB Darmajaya Mengajar Mahasiswa diÂ UniMAP https://t.co/yY3VonKgLb
1330353636031959041,Kos komputer kat unimap dah tukar kos electronic .. pastu dri pure dah jadi ftk ğŸ˜‚
1330127541953310720,"Topik university.
Banyak banyak U, U apa tak sesat kalau jalan?

Unimap."
1330101414878646273,"Banyak U kat Malaysia ni satu U je takkan sesat. 

And yeah, UniMAP."
1330035494550450179,"Alhamdulillah, walaupun kesabaran kena tinggi tapi wifi unimap jadi penyelamat tatkala data aku bakal direnew lagi 7 hari ğŸ˜­"
1330034410020876289,@khairunnisakmis @syaminnoor mende unimap cuti tarak langsung ka
1330012282483478529,@aamieliaa htf mai unimap huhu
1330009433489821697,"RT @mpp_kuis: Alhamdulillah KUIS berjaya ke separuh akhir untuk game PES. Jom kita support atlet PES pada petang ini.

KUIS vs UNIMAP httpsâ€¦"
1330008485111623682,"Alhamdulillah KUIS berjaya ke separuh akhir untuk game PES. Jom kita support atlet PES pada petang ini.

KUIS vs UNIMAP https://t.co/7FyolkKBS0"
1329965819095203841,harey tau ada event harini wifi unimap macam pundek
1329804250843516928,One year already? ğŸ¥º One of my favorite event in UniMAP as academician tapi tahun ni tak ada! Screw you covid-19! Urgh!! https://t.co/zNphoICllr
1329786910181523456,Hahaha biru kuning ni menyebabkan aku teringat unimap la https://t.co/Xxs2Kpl4iX
1329769324085530625,"HFMD begins with fever, feeling sick and poor appetite. In one to two days, ulcers may develop on mouth. Some patient has red rashes on hand and foot. #kkm  #unimap https://t.co/e0yC2BOhXV"
1329768269658554368,"@cikAINyusof @nrathrhjml Ofkossss. Cerita pasal crush, teringat crush aing since forever time dekat UniMAP. Mana dia sekarang weyh?"
1329750432197996544,@AhmadMvkhlis jenaka unimap https://t.co/Sovcjk7aP7
1329744901471227905,"kepada kak hanan dan kak nuha jangan bersuka ria lepas dah tak jadi mpp tu lepas ni bawalah saya berjalan"" sebelom anda meninggalkn unimap iye"
1329739804343300101,Saya suggest team UVoC UniMAP.. https://t.co/UR1CAByoH3
1329736401491922946,Depa dua ni cukup risau bila anak dia ni cakap nak kena balik unimap dah ğŸ˜‚
1329718125307183106,Unimap dah panggil balik ğŸ¤£ğŸ¤£ https://t.co/FrlehLKd0R
1329711805371797507,Lecturer aku ni dah lebih sejam class aku report dekat Unimap baru tau
1329678010476228610,"20 Nov- UniMAP perlu utamakan bidang penyelidikan walau berdepan kekangan kewangan

https://t.co/kMtbyoKKjv

'Yang sahih, di Berita RTM'

#BeritaRTM #RTM #COVID19Malaysia #PKPP #KitaJagaKita #KitaMestiMenang #KomunikasiKita #KerajaanPrihatin #KitaPrihatin #MyAPEC2020 https://t.co/Vi4hplsVao"
1329672318751186944,khai kata tunggu aku ada anak 5 baru unimap nak bagi balik yuran sem lepas tu ğŸ¤£ğŸ¤£ğŸ¤£
1329669507871195138,"@Raihanaaaaaaaa_ Anna hg kan pandai masak, apa kata try bake cookies pastu celup la cadbury. Sedap boleh pos unimap tak sedap pos ipoh kahkahkah"
1329553192867094528,https://t.co/Yn7WBPrvbO
1329535314860273664,@hanifjamals Student kktm takyah sambung unimap. Payah betul aku nak transfer kredit sebulan tungguğŸ˜­
1329462772980211721,@Azmahalim_ @janeeeeeeqq @_nrlaqlh @SyedSaddiq @WORLDOFBUZZ okay lah . unimap tak kurang langsung ğŸ˜‚
1329427170238709760,ya Allah gigih kau haa that is the only one freaking picture of me in baju korporat unimap ugh luckily got MT power bab editing phew penarddd letihhhh ğŸ˜ŒğŸ˜©
1329421234556329984,@veramagalhaes Tem onde comprar ? https://t.co/oIgdez1iMW
1329415468499693569,"RT @istywxx: saja la nak tnya, budak #unimap mmg kalau meniru selalu kantoi ke cemana? klau ada budak unimap baca ni, sila la komen. kakakâ€¦"
1329398436769058816,@plytessa hahahaha sedih bodoe setiap sem ada budak unimap cmtu asyik kantoi ngn kak aku huhu
1329395657791029248,"saja la nak tnya, budak #unimap mmg kalau meniru selalu kantoi ke cemana? klau ada budak unimap baca ni, sila la komen. kakak aku (lect) duk tnya hmpa share jwpn ikut mana wkwkw. calculation and pattern jwpn math korg sbijik 100% sama lol. kot nak niru pon, tukaq la pattern skit."
1329395041190625280,kalau aku balik kluang cuti sem ni agak agak lepas tak balik unimap balik hahaha
1329385568548003841,Jumpa lagi Unimap ğŸ¤—ğŸ¤—ğŸ¤—
1329382048956444672,"UNSYIAH in partnership with Universiti Malaysia Perlis (UNIMAP) and Thaksin University (TSU), once again hosted a series of the Virtual Mobility Program â€“ Teentalk Project, on the 30th of October 2020. 

Read full article on: https://t.co/9Lswqx0dAy https://t.co/owJGtGZB9x"
1329373348032221184,"é•·å´çœŒ ã® è««æ—©ã‚¯ãƒ©ãƒ–ã•ã‚“ãŒè¿½åŠ â™ª
https://t.co/CnyiiCvehJ
#æŸ”é“ #ãƒ¦ãƒ‹ãƒ•ã‚¡ã‚¤ãƒ‰ã‚¹ãƒãƒ¼ãƒ„
#æŸ”é“å ´ãƒãƒƒãƒ— #judo"
1329372101799677953,Bendahari Unimap ni aku duk email tak balas ni nk kena ni
1329365467559911424,"Alhamdulillah, another project for UniMAP libry... 
VR fully-immersive scope"
1329343720051802114,"@FaRa_Aziz08 Tu la wei, tadi orang bank telefon kata ada cheque dari UniMAP, nak confirm no akaun sebab maklumat tak lengkap, ingatkan scam, sekali duit masuk betui.

Pelik pelik ğŸ˜…"
1329333303799758848,Kenapa tibaÂ² UniMAP pi credit masuk akaun 68 hinggit? https://t.co/t3rGF4TLv8
1329331191376351233,"Kelakarnya buat master kat imen ni ramai betul classmate lah, bestfren lah lecturer kepada lecturer time degree dulu. Bila sebut saya dulu degree kat unimap ohhhhh saya ada kawan kat sana ğŸ˜³ Sekarang ni aku tgh ajar ex-classmate puan azura guna plasma"
1329319007787180032,"Unimap relax je tambah extra RM95 dari yuran atas alasan ""insurance""
Dan mewajibkan student mereka bayar. https://t.co/rt9VoKYLf2"
1329316781387771904,Amaran belen UniMap di depan
1329296649319981056,"Lepas konvo unimap pi dating, lepas konvo scipp pi dating. Dating for lyfe! ğŸ¤£"
1329277459146043395,utem &gt;&gt;&gt;&gt;&gt;&gt; unimap
1329261039238737921,"Just posted a photo @ Kampus Tetap Unimap, Ulu Pauh, Perlis https://t.co/Ob9VnbGfpy"
1329147842489769987,"RT @_wwwmelonis: HIII TWITTER â¤ï¸âœ¨

saya tak minta banyak,, nak korang rt jee kalau taknak beli lagi ğŸ˜ 

BARESKINLAB FACIAL SERUM AND BARESKâ€¦"
1329127677949661184,"RT @firdaosyusof: dulu org banyak ragu2 dgn keupayaan kelab Perpustakaan kat unimap ni sbb baru lg. alhamdulillah, aku bersyukur gila whenâ€¦"
1329084693287890946,"@mdaniellll @azrieraizal Hg la nial, pastu muntah lepas pakai jacket unimap"
1329078869324824577,"dulu org banyak ragu2 dgn keupayaan kelab Perpustakaan kat unimap ni sbb baru lg. alhamdulillah, aku bersyukur gila when arini sampai satu tahap we can bg at least breakfast percuma utk rakan-rakan mahasiswa kami. THANK YOU EVERYONE!!!!"
1329074832122626048,@nabilahusna194 haa pakai jaket unimap paling selesa sekali ğŸ˜Œ
1329069816376942592,Unimap ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£
1329049328359329792,@amirahhmzh Nope masa ni ngan dato vc unimap utk kelulusan cuti blaja
1329040621273640961,"RT @_wwwmelonis: HIII TWITTER â¤ï¸âœ¨

saya tak minta banyak,, nak korang rt jee kalau taknak beli lagi ğŸ˜ 

BARESKINLAB FACIAL SERUM AND BARESKâ€¦"
1329028502465613824,"RT @_wwwmelonis: HIII TWITTER â¤ï¸âœ¨

saya tak minta banyak,, nak korang rt jee kalau taknak beli lagi ğŸ˜ 

BARESKINLAB FACIAL SERUM AND BARESKâ€¦"
1329024875852226560,"RT @Unimapcnfession: #UC135186 

It costs RM0.00 to RT &amp; support my small business. I wish to reduce my parentsâ€™ financial burden especiallâ€¦"
1329024440345128960,"HIII TWITTER â¤ï¸âœ¨

saya tak minta banyak,, nak korang rt jee kalau taknak beli lagi ğŸ˜ 

BARESKINLAB FACIAL SERUM AND BARESKINLAB FACIAL CLEANSER â¤ï¸ boleh membantu merawat kulit wajah yang kusam, berjerawat, berjeragat dan sebagainya âœ¨ #unimap https://t.co/RH7u7LtU3j"
1329019489342672896,"Just posted a photo @ Kampus Tetap Unimap, Ulu Pauh, Perlis https://t.co/7PmLgVPNwR"
1329005360062078979,"@Santiguazzelli @luvecchia57 @PiluGiraudo Una lastima q los pueblos del interior del interior pierdan la capacidad de escucharse. Esto los expone a conflictos q aÃºn no conocen
Las soluciones estÃ¡n, son muy robustas y solo demuestran conocimiento despojado d emociones.
#Unimap mitiga los riegos y transparenta procesos"
1329003109327065088,"Aku penat dgn unimap, bab duit lembab, bab lain laju je. Takguna betul la"
1328975386546298883,"Nasib pakai outerwear tadi, tapi ni pakai jacket unimap ni tetiba rasa macam geng bola abah ğŸ¤£"
1328974477972041730,@qsbn_chi Tu laaa. Aku pun ease mcm tu jgk. Hahaha. Pakai jacket Unimap ke kan
1328906623830552577,@Haziqazman17 Meh Unimap HAHAHAHA
1328892127372140545,"duk bt resume, bru sedar aku tk active lgsng kt unimap hm pergi la mampus"
1328890382558457858,Maryam belajar kat mana? Unimap? Pahang eh? Except last raya sebab pkp. https://t.co/eVA1uIB62N
1328889285659955201,Call bendahari unimap tp hahaha sabar je sial aku
1328861951645007872,"CENVIRON 2020 â€“ Special Issue on Water. 

â€œWater Security: Holistic Approach Towards Water Resilience and Sustainabilityâ€.

Ikuti sesi Keynote 1 bersama-sama YBhg Datoâ€™ Ir Hj Nor Hisham bin Mohd Ghazali, Ketua Pengarah, JPS Malaysia pada jam 9.30 pagi (18.11.2020)

@twt_UniMAP https://t.co/V3CtJ46Tam"
1328761294753697792,@OhMyPerlis Hahaha takdak pun. Org perlis tak ramai kat unimap ğŸ˜‚
1328705275704971264,"Saya dekat Unimap, Anda di mana? https://t.co/XSuiqQyALI"
1328669721332383753,@cidaaa16 Haha unimap
1328646011179257860,"Temui Prof. Madya Ir. Ts. Dr. Mohd Firdaus Omar, Penyelaras Unit Promosi dan Pemasaran UniMAP, pada 18 November 2020 (Rabu) jam 10.30 pagi hingga 12.00 tengah hari. Sesi perbincangan boleh dilayari melalui pautan Google Meet seperti berikut:

https://t.co/QireblSVmZ https://t.co/ihzyu0jSUC"
1328631164362375170,"RT @Unimapcnfession: #UC135182 

Unimap masih nk buat exam face to face ke? Rasa selesa ke perlis xde kes?. Student datang dari luar perlisâ€¦"
1328631065053855745,"RT @Unimapcnfession: #UC135184 

Apa guna unimap buat survey banyak-banyak tapi tak pernah perbaik pulih."
1328629432295165952,@annyongyien @abahlew Nak balik tapi unimap tak bagi sbb diorang busuk!
1328616865304780800,@fathul_aliq untung la.. unimap nak bagi balik yuran pun 40 kali meeting pala butoh diorang la
1332175745318207489,2021 ğŸ¤™ğŸ» #unimap https://t.co/5nhFwZK501
1332172059925831681,@irisphineas Bukan utm je.. unimap pun.. jauh lagi betterğŸ¤£
1332168084128288769,masuk kelas sir ezral hari ni rasa macam masuk kelas kat unimap rasa yg macam BETUL BETUL KELAS lah. WEHHH BEST GILAAAAA. ALHAMDULILLAH DAPAT LECTURER BAGUS NAK MAMPOS MACAM NI!!!!!!!
1332023684249264128,"@uhaniAaziz Hi awak, charge cod ke unimap berapa ya?"
1332006441377353729,*mencarut dan memaki hamun UniMAP WiFi*
1331954652070309888,"Tarikh penubuhan

Penubuhan SISKOR bermula pada tahun 2014 yang disertai oleh universiti yang terkemuka seperti Universiti Utara Malaysia(UUM), Universiti Sultan Zainal Abidin(UniSZA), Universiti Tun Hussein Onn Malaysia(UTHM) dan Universiti Malaysia Perlis(UniMAP)."
1331945826919141376,"@mstfjml_ um dah habis midsem, ump takda midsem, unimap lambat 2 minggu. Hahaha"
1331933496634339328,RT @harakahdailyHD: UniMAP berada kelompok universiti terbaikÂ Asia https://t.co/cvG0hy2cN7
1331910414322466816,RT @harakahdailyHD: UniMAP berada kelompok universiti terbaikÂ Asia https://t.co/cvG0hy2cN7
1331909118416678913,RT @harakahdailyHD: UniMAP berada kelompok universiti terbaikÂ Asia https://t.co/cvG0hy2cN7
1331907111463239680,RT @harakahdailyHD: UniMAP berada kelompok universiti terbaikÂ Asia https://t.co/cvG0hy2cN7
1331898302078435330,@nblhhn unimap max 300 je sem lepas sksksk tp tah la tkdpt lagi so tkthu berapa
1331891171124154369,"kalau betul unimap pulangkan duit kolej kediaman full, memang aku up bajet meja belajo lagi rm100 ğŸ˜‚"
1331890633015914499,RT @harakahdailyHD: UniMAP berada kelompok universiti terbaikÂ Asia https://t.co/cvG0hy2cN7
1331880452983021568,UniMAP berada kelompok universiti terbaikÂ Asia https://t.co/cvG0hy2cN7
1331863961336041472,"salam, unimap bila nak bagi full refund yuran penginapan sem lepas :)"
1331861133217546240,@cajwannn @niknasrull Masalah sekarang Nie bila unimap nak bagi duit yuran ..ğŸ¤¨
1331829106984402944,@keysteana Qis kalau nak tau org yang cakap ni actually housemate reza time kat kangaq dulu.. time tu qis pon kat unimap lagi hahahaha
1331824657423450120,unimap punya wifi ni dia punya lambat nak mampus dari aku masak maggi sampai dah habis makan maggi still tak dapat nak connect dekat laptop ğŸ¤¦ğŸ»â€â™€ï¸
1331820469335441408,"Hai korangâ€¼ï¸ Ada Facebook dengan Twitter tak? Kalau ada, jom follow acc dekat bawah ni. Kitorang ada sediakan macam-macam tentang obesiti tauu. Ada challenge jugak tauuğŸ™ˆ Tunguu
Facebook https://t.co/TQM3jJ1VNi

Twitter https://t.co/5LyYjWG0T1"
1331818708071694336,So total 4 orang lah uthm yang sambung unimap kan
1331817656127635457,"Hey everyone! Weâ€™re on another social media platform too! Click the follow button so you wonâ€™t miss any information about thyca! ğŸ’™ğŸ¦‹

Instagram :
https://t.co/PCYZCHs0DB

Twitter :
https://t.co/A2X0Ov5giR

Facebook :
https://t.co/yekNvaBTWZ"
1331816857142140930,"Unimap tingkat 14 kedudukan dalam tempoh lima tahun. Tahniah!
https://t.co/iiowR32PwD"
1331809201446821888,"RT @HFMDUnimap: HFMD begins with fever, feeling sick and poor appetite. In one to two days, ulcers may develop on mouth. Some patient has râ€¦"
1331808182050586630,"@frhnasdfghjkl Dah la suruh exam dalam dewan, taguna punya Unimap"
1331804822379634690,H: Unimap di kedudukan ke- 207 terbaikÂ Asia https://t.co/y9dIY5pH9c
1331804525821190145,"Program ini terdiri daripada 3 kategori pertandingan dan Sesi Bual Bicara yang dipanggil Apa Khabar IPTA bersama MPP dari UiTM Seremban, UTeM, UniMAP, UTHM dan Alumni Talk yang menampilkan 3 panel yang merupakan alumni UiTM Raub."
1331803111015337984,"Program ini terdiri daripada 3 kategori pertandingan dan Sesi Bual Bicara yang dipanggil Apa Khabar IPTA bersama MPP dari UiTM Seremban, UTeM, UniMAP, UTHM dan Alumni Talk yang menampilkan 3 panel yang merupakan alumni UiTM Raub."
1331667429106171907,@shahiraNadiaa HAHAHAHAHAHHA APANI UITM TANYA UNIMAP https://t.co/6X6ePHn4zS
1331638034706513925,RT @MerdekaSuara: https://t.co/Yn7WBPrvbO
1331624209835933697,"Anak kitorg dlm perut lg dah ada bag friendship ğŸ˜‚ memula fai bli kan baby kite, pastu kite blikn baby dia smula, klu zmn unimap ni mmg dah bawak dah sama2 g kelas ğŸ˜‚ğŸ˜‚ xdpt jmpa fai pun spjg dua2 mgndung ni, klu xblh amek gmbr laga perut. https://t.co/S31U7nL21v"
1331529205616504832,RT @harakahdailyHD: UniMAP ungguli produk inovasi pandemikÂ Covid https://t.co/y34D4w19Fp
1331528578786156544,RT @harakahdailyHD: UniMAP ungguli produk inovasi pandemikÂ Covid https://t.co/y34D4w19Fp
1331500080965173249,@antshamz @SiTiZunnuraIN3 @syhrhyusri Syarat unimap mcm tuuu. Siapa balik kena quarantine 2 minggu dekt sana baru boleh duduk kolej asal
1331499164161609728,ANC tws IPX5 rated harga rm380. Hmm interesting ğŸ‘€. Kalau unimap pulangkan yuran hostel aku beli dah
1331490793530519552,"@MichoacanNvda @anotartemx @TrabajoDignoMX @monapred @ConjuroTeatro  @CNTeatromx @UTEmexico #NoALaPrecarizaciÃ³nCultural
EL DÃA DE HOY
Rechazan la gestiÃ³n de MOV. ESCENA, JALACABLES, UNIMAP.
#Novivimosdelaplauso https://t.co/U72AdGTtke https://t.co/7AOKp2MNSr"
1331490433038491650,"@AplausoNo @Asambleacultur1 @MOCCAMEXICO @RECIOcdmx  @LJalacables
@alartemx @teatroinbal @redmuseosINBAL 
#NoALaPrecarizaciÃ³nCultural
EL DÃA DE HOY
Rechazan la gestiÃ³n de MOV. ESCENA, JALACABLES, UNIMAP.
#Novivimosdelaplauso https://t.co/U72AdGTtke"
1331489056589447168,RT @SkinCancerrr: This is SKIN CANCER AWARENESS for our assignment.Hope all of you can follow and rt all the post that will come soon.Alsoâ€¦
1331485322765430784,"@farhan_amri1997 Yg unimap pun ada , cer buat ahahaha"
1331475418499538944,"Punya la sedih .. dah duk 3 bulan kat unimap ni, ada sv je sbgai kawanğŸ˜Œ"
1331458054286700545,UniMAP ungguli produk inovasi pandemikÂ Covid https://t.co/y34D4w19Fp
1331423107404288005,Tamatkan jelah pkpb selangor ni kecuali klang tu ha. Aku nak balik unimap pantat aku ada lab
1331405885495668736,@HaiCrush94 Lecturer unimap aku tgok tgh seronok  wfh ada yg hari2 kayuh basikal. Bbq etc
1331399950987476993,"RT @zrjersey: Hi guys.

Kami masih ada stok player issue dan fans issue untuk jersi Chelsea Third Kit.

RM50 Fans issue
RM65 Player issueâ€¦"
1331300826309033984,"Hmm, please suruh unimap buat exam online, we have lots of stress hereğŸ˜­ https://t.co/kwG5kJy27B"
1331298420519124992,@syafabdul Hg dkt unimap ke adikk
1331287786674999296,@nurazlinjaffry Hahahaha another fun fact dia budak unimap main campus
1331254649576296448,@syifahaniff lik unimap dah tadi ğŸ˜”â˜ğŸ»
1331249153184329730,Saya harap kawan kawan saya di unimap ok dah sihat shj. Sedih sbb depa tak dapat balik rumah memasing ğŸ˜¢
1331228131731021825,"RT @HFMDUnimap: HFMD begins with fever, feeling sick and poor appetite. In one to two days, ulcers may develop on mouth. Some patient has râ€¦"
1331222305779826689,"Esok gaji, esok gaji,esok gajiğŸ˜Korang yang dalam kampus alam UniMAP iouls leh siyodi trussss ke tempat uols kğŸ˜˜
#readystock https://t.co/3dMyBl0sec"
1331205630049193984,@shafiqismaill Ada dia buat iv pik kat unimap hahah. Tapi bukan kos kita la
1331191935738920960,"faktor umur ni syaakirah ni ğŸ˜‚ğŸ˜‚ eh tak2 sesejak kt unimap lagi2 final year tu, manjang pakai jaket je ğŸ˜‚"
1331183494270246912,"Postgraduate Opportunity (Master by Research) at Universiti Malaysia Perlis (UniMAP)
ğŸ“ŒProject: Biopolymer-based Nanocomposites
ğŸ“ Project funded by Fundamental Research Grant Scheme (FRGS)
ğŸ’° Monthly allowance is provided
Potential students or further inquiries please contact: https://t.co/Jcm9PuWcfl"
